1,an,the
2,agus,and
3,ar,on
4,a,his
5,bhí,was
6,ní,not
7,do,to
8,le,with
9,mé,I
10,tá,is
11,sé,he
12,sí,she
13,go,to
14,sa,in the
15,mo,my
16,ó,from
17,seo,this
18,chun,to
19,ina,in his
20,siad,they
21,bhíon,are
22,ní raibh,was not
23,trí,through
24,faoi,about
25,go raibh,thank you
26,sin,that
27,anseo,here
28,anois,now
29,nuair a,when
30,uirthi,on her
31,liom,with me
32,tú,you
33,ach,but
34,mar,because
35,é,him
36,muid,we
37,freisin,also
38,maith,good
39,ceart,right
40,faoi,under
41,cé,who
42,saoire,holiday
43,leis,with him
44,ansin,there
45,roimh,before
46,arís,again
47,gach,every
48,sean,old
49,obair,work
50,cé go,although
51,fáilte,welcome
52,éisteacht,listening
53,as,out of
54,fad,length
55,beag,little
56,fear,man
57,máthair,mother
58,athair,father
59,áit,place
60,mór,big
61,an-,very
62,duine,person
63,uisce,water
64,bia,food
65,áthas,happiness
66,teach,house
67,gránna,ugly
68,álainn,beautiful
69,páiste,child
70,scoil,school
71,abair,say
72,dul,go
73,teacht,coming
74,an-mhaith,very good
75,gúna,dress
76,solas,light
77,dorcha,dark
78,múinteoir,teacher
79,ceol,music
80,scríobh,write
81,léamh,read
82,gairdín,garden
83,clár,board
84,cluiche,game
85,caint,talk
86,siúl,walk
87,súgradh,play
88,éist,listen
89,dún,close
90,oscail,open
91,sábháil,save
92,teach,house
93,bóthar,road
94,cathair,city
95,rang,class
96,trá,beach
97,bád,boat
98,tábla,table
99,cathaoir,chair
100,fuinneog,window
101,cistin,kitchen
102,béal,mouth
103,geata,gateway
104,am,time
105,aoibhneas,joy
106,síoda,silk
107,meabhair,mind
108,clog,clock
109,scéal,story
110,bean,woman
111,leaba,bed
112,uasal,gentleman
113,athrú,change
114,bachlóg,flower bud
115,teanga,tongue
116,scáth,fear
117,muintir,family
118,cath,battle
119,éirigh,rise
120,tuar,omen
121,cairde,friends
122,súil,eye
123,guth,voice
124,glór,sound
125,doras,door
126,baile,home
127,fearg,anger
128,dóchas,hope
129,siúcra,sugar
130,leathanach,page
131,sagart,priest
132,asail,donkeys
133,crann,tree
134,dia,God
135,inneall,machine
136,fadhb,problem
137,bróg,shoe
138,cairpéad,carpet
139,tonn,wave
140,uaine,green
141,leathan,wide
142,tiubh,thick
143,bán,white
144,dubh,black
145,dearg,red
146,bán,field
147,méar,finger
148,buille,hit
149,banna,bond
150,cill,church
151,aimsir,weather
152,spraoi,fun
153,príosún,prison
154,cara,friend
155,gliú,glue
156,éalú,escape
157,cuair,curve
158,tréimhse,period
159,uaimh,cave
160,leath,half
161,ceap,slice
162,geal,bright
163,ciúin,quiet
164,dall,blind
165,luach,value
166,laoch,hero
167,cabhair,help
168,gairdín,garden
169,céim,step
170,lá,day
171,oíche,night
172,seachtain,week
173,mí,month
174,bliain,year
175,go luath,soon
176,déan,make
177,ceannaigh,buy
178,díol,sell
179,déanamh,doing
180,buail,meet
181,ith,eat
182,ól,drink
183,glan,clean
184,nigh,wash
185,tóg,take
186,fág,leave
187,tabhair,give
188,caith,throw
189,clois,hear
190,feic,see
191,labhair,talk
192,fan,wait
193,faigh,get
194,croch,hang
195,díol,sell
196,freagair,answer
197,smaoin,think
198,tosaigh,start
199,críochnaigh,finish
200,cas,turn
201,bronn,present
202,siúl,walk
203,rith,run
204,léim,jump
205,imeacht,depart
206,taispeáin,show
207,leag,put down
208,cogadh,war
209,síocháin,peace
210,léargas,insight
211,bog,soft
212,crua,hard
213,te,hot
214,fuar,cold
215,sásta,happy
216,brónach,sad
217,fírinne,truth
218,bréag,lie
219,cinneadh,decision
220,grá,love
221,fuath,hate
222,uaigneas,loneliness
223,cairdeas,friendship
224,crann,tree
225,tor,bush
226,bláth,flower
227,díon,roof
228,cnoc,hill
229,sliabh,mountain
230,bó,ox
231,capall,horse
232,muc,pig
233,géese,goose
234,lacha,duck
235,caora,sheep
236,baineann,female
237,fir,male
238,bainis,wedding
239,frása,phrase
240,ceist,question
241,freagra,answer
242,creid,believe
243,bí,be
244,áirigh,count
245,gléas,device
246,déan,do
247,cúpla,couple
248,cos,leg
249,lámh,hand
250,ceann,head
251,comhairle,advice
252,neart,strength
253,laige,weakness
254,oscailte,open
255,dúnta,closed
256,buachaill,boy
257,cailín,girl
258,faoi,circle
259,thar,over
260,cosúlacht,similarity
261,dhílis,loyal
262,spéisiúil,interesting
263,bain,win
264,caill,lose
265,breith,catch
266,bualadh,hit
267,barr,top
268,bun,bottom
269,cluas,ear
270,croí,heart
271,intinn,mind
272,tanaí,thin
273,ramhar,fat
274,geimhreadh,winter
275,samhradh,summer
276,fuinneamh,energy
277,eolas,knowledge
278,anál,breath
279,fuinneog,window
280,bord,table
281,sorn,oven
282,slua,crowd
283,cuspóir,goal
284,teorainn,boundary
285,cúlra,background
286,tír,country
287,bróga,shoes
288,láidir,strong
289,lag,weak
290,éan,bird
291,iasc,fish
292,pór,breed
293,srón,nose
294,cathair,city
295,dáiríre,serious
296,scéim,scheme
297,páirc,park
298,feirm,farm
299,meas,respect
300,díreach,straight
301,réamhaisnéis,forecast
302,faighte,received
303,neamh,heaven
304,domhan,earth
305,spéir,sky
306,gealach,moon
307,gráin,grain
308,bóthar,road
309,stól,chair
310,boird,tables
311,éadaí,clothes
312,casadh,twist
313,tairbhe,benefit
314,cineál,type
315,cothrom,equality
316,féile,festival
317,bealadh,opening
318,gaoth,wind
319,raca,shout
320,sciath,shield
321,cuibhreann,creature
322,labhras,speaks
323,ith,ate
324,éistíonn,listens
325,luigh,lie
326,sciob,slip
327,gael,Gaelic
328,saoiste,chief
329,téarma,term
330,leann,beer
331,ciúin,calm
332,rianta,trails
333,éadaí,garments
334,comhoibriú,cooperation
335,feidhm,function
336,suim,interest
337,saoir,freedom
338,taobh,side
339,leathan,broad
340,maoin,wealth
341,feabhas,improvement
342,cnáib,hemp
343,sá,place
344,bóthar,way
345,imreoir,player
346,suirbhé,survey
347,scóil,school
348,stair,history
349,leibheál,label
350,faobhar,edge
351,ceolchoirm,concert
352,cruinniú,meeting
353,áit,venue
354,stáit,state
355,sláinte,health
356,míol,mite
357,geall,bet
358,ainm,name
359,gé,goose
360,ogham,ogham
361,taithí,experience
362,faoin,about
363,feathlaigh,flatter
364,cuireadh,invitation
365,conas,how
366,cén,which
367,ár,our
368,áineas,support
369,cosaint,protection
370,tháinig,came
371,réitigh,solve
372,gá,need
373,meabhraigh,remind
374,maighdean,maiden
375,crónán,creature
